sample_id,model,language,mean_sim
460,fire,th,0.614399790763855
460,global,th,0.8579918742179871
460,water,th,0.9935102462768555
470,earth,de,1.0000001192092896
470,fire,de,0.9864801168441772
470,global,de,0.9524547457695007
470,water,de,0.9896401166915894
471,earth,en,0.8134647607803345
471,fire,en,0.7486832141876221
471,global,en,0.770543098449707
471,water,en,0.7808011174201965
475,earth,de,1.0000001192092896
475,earth,zh,1.000000238418579
475,fire,de,0.9500705599784851
475,fire,zh,1.000000238418579
475,global,de,0.9014900326728821
475,global,zh,0.5061089992523193
475,water,de,0.9313203692436218
475,water,zh,1.000000238418579
477,earth,de,0.6894086003303528
477,fire,de,0.7499393820762634
477,global,de,0.5731554627418518
477,water,de,0.701654314994812
481,earth,ru,0.9108147621154785
481,fire,ru,0.8018420338630676
481,global,ru,0.8812288045883179
481,water,ru,0.8231760263442993
482,earth,zh,0.838709831237793
482,fire,zh,0.7947340607643127
482,global,zh,0.7546737790107727
482,water,zh,0.7216660976409912
483,earth,th,0.9577768445014954
483,fire,th,0.9365876913070679
483,global,th,0.9924302101135254
483,water,th,0.9511829614639282
487,earth,en,0.8441669344902039
487,fire,en,0.7839375138282776
487,global,en,0.8153454065322876
487,water,en,0.8298857808113098
490,earth,zh,0.9414861798286438
490,fire,zh,0.938032329082489
490,global,zh,0.6887511014938354
490,water,zh,0.909349799156189
500,earth,ru,0.8214333653450012
500,fire,ru,0.7845774292945862
500,global,ru,0.9236704707145691
500,water,ru,0.8625222444534302
505,earth,ar,0.8743696212768555
505,fire,ar,0.8613813519477844
505,global,ar,0.8635667562484741
505,water,ar,0.8319944143295288
506,earth,th,0.7395402193069458
506,fire,th,0.8589685559272766
506,global,th,0.7619527578353882
506,water,th,0.835485577583313
508,earth,ru,0.9693662524223328
508,fire,ru,0.9917827844619751
508,global,ru,1.0
508,water,ru,0.9774298667907715
520,earth,ar,0.768946647644043
520,fire,ar,0.9118403196334839
520,global,ar,0.7291632890701294
520,water,ar,0.7065273523330688
521,earth,th,0.9006448984146118
521,fire,th,0.8515876531600952
521,global,th,1.0
521,water,th,0.9326475262641907
527,earth,de,0.8849139213562012
527,fire,de,0.8762882351875305
527,global,de,0.8985854387283325
527,water,de,0.8088330030441284
530,earth,de,0.9528066515922546
530,fire,de,0.9713165163993835
530,global,de,0.9640828967094421
530,water,de,0.9691770672798157
540,earth,ar,0.9094201922416687
540,fire,ar,0.8364647626876831
540,global,ar,0.8214265704154968
540,water,ar,0.9009906053543091
546,earth,de,0.9927525520324707
546,global,de,0.9146286249160767
546,water,de,0.9727674126625061
547,earth,de,0.8834897875785828
547,fire,de,0.8447998762130737
547,global,de,0.9719854593276978
547,water,de,0.8674089312553406
549,earth,ar,0.9999998211860657
549,fire,ar,0.9999998211860657
549,global,ar,0.8131908178329468
549,water,ar,0.9999998211860657
555,earth,ru,1.0000001192092896
