sample_id,model,rep,lang1,lang2,similarity
702,water,4,de,zh,0.6608234643936157
797,earth,0,ar,ru,0.5427452325820923
797,earth,1,ar,ru,0.44548362493515015
797,earth,2,ar,ru,0.4609948396682739
797,earth,3,ar,ru,0.4457065463066101
797,earth,4,ar,ru,0.5067859292030334
797,fire,0,ar,ru,0.5445082187652588
797,fire,1,ar,ru,0.7478252649307251
797,fire,2,ar,ru,0.7113062143325806
797,fire,3,ar,ru,0.49984031915664673
797,fire,4,ar,ru,0.5161969661712646
797,global,0,ar,ru,0.766781747341156
797,global,1,ar,ru,0.4715556502342224
797,global,2,ar,ru,0.49248170852661133
797,global,3,ar,ru,0.5259217023849487
797,global,4,ar,ru,0.3462740480899811
797,water,0,ar,ru,0.7922223210334778
797,water,1,ar,ru,0.6683483123779297
797,water,2,ar,ru,0.41534677147865295
797,water,3,ar,ru,0.5230499505996704
797,water,4,ar,ru,0.46701228618621826
847,earth,0,ru,zh,0.7850319147109985
847,earth,1,ru,zh,0.7547222971916199
847,earth,2,ru,zh,0.8117920756340027
847,earth,3,ru,zh,0.8372381925582886
847,earth,4,ru,zh,0.8199465274810791
847,fire,0,ru,zh,0.7329941987991333
847,fire,1,ru,zh,0.811861515045166
847,fire,2,ru,zh,0.6930378675460815
847,global,0,ru,zh,0.5017532706260681
847,global,1,ru,zh,0.6035767793655396
847,global,2,ru,zh,0.5927842855453491
847,global,3,ru,zh,0.7067914009094238
847,global,4,ru,zh,0.7919198274612427
847,water,0,ru,zh,0.7801988124847412
847,water,1,ru,zh,0.7489784955978394
847,water,3,ru,zh,0.7393780946731567
847,water,4,ru,zh,0.619012176990509
865,earth,0,th,zh,0.587268590927124
865,earth,1,th,zh,0.5991145372390747
865,earth,2,th,zh,0.6192216873168945
865,earth,3,th,zh,0.4746887683868408
865,earth,4,th,zh,0.5574007034301758
865,fire,0,th,zh,0.5247522592544556
865,fire,1,th,zh,0.616577684879303
865,fire,2,th,zh,0.6408042311668396
865,fire,3,th,zh,0.5989384651184082
865,fire,4,th,zh,0.58929842710495
865,global,0,th,zh,0.43138110637664795
865,global,1,th,zh,0.6751513481140137
865,global,2,th,zh,0.5536912679672241
865,global,3,th,zh,0.5929371118545532
865,global,4,th,zh,0.48376375436782837
865,water,0,th,zh,0.4784601926803589
865,water,1,th,zh,0.6057601571083069
865,water,2,th,zh,0.4531230628490448
865,water,3,th,zh,0.5762742161750793
865,water,4,th,zh,0.5334733724594116
909,earth,0,de,th,0.511925458908081
909,earth,1,de,th,0.5775172114372253
909,earth,2,de,th,0.6684677600860596
909,earth,3,de,th,0.6782986521720886
909,earth,4,de,th,0.85725337266922
909,fire,0,de,th,0.6657015085220337
909,fire,1,de,th,0.7212599515914917
909,fire,2,de,th,0.5912643671035767
909,fire,3,de,th,0.5899100303649902
909,fire,4,de,th,0.5819993615150452
909,global,0,de,th,0.5758146047592163
909,global,1,de,th,0.6037206649780273
909,global,2,de,th,0.6010441780090332
909,global,3,de,th,0.5886760950088501
909,global,4,de,th,0.6411005258560181
909,water,0,de,th,0.7871671319007874
909,water,1,de,th,0.6487402319908142
909,water,2,de,th,0.6116953492164612
909,water,3,de,th,0.6024198532104492
909,water,4,de,th,0.6872695684432983
917,earth,0,ru,zh,0.892300009727478
917,earth,1,ru,zh,0.838739275932312
917,earth,2,ru,zh,0.8231889605522156
917,earth,3,ru,zh,0.9036003351211548
917,earth,4,ru,zh,0.8230656385421753
917,fire,0,ru,zh,0.858226478099823
917,fire,1,ru,zh,0.792738676071167
917,fire,2,ru,zh,0.7519744634628296
917,fire,3,ru,zh,0.7922863364219666
917,fire,4,ru,zh,0.8854106664657593
917,global,0,ru,zh,0.7822068333625793
917,global,1,ru,zh,0.8302342891693115
917,global,2,ru,zh,0.815331757068634
917,global,3,ru,zh,0.8693094253540039
917,global,4,ru,zh,0.8302342891693115
917,water,0,ru,zh,0.8544517755508423
917,water,1,ru,zh,0.7128928899765015
917,water,2,ru,zh,0.8404666185379028
917,water,3,ru,zh,0.8457556962966919
917,water,4,ru,zh,0.8072532415390015
934,earth,0,ru,th,0.713282585144043
934,earth,1,ru,th,0.8094989061355591
934,earth,2,ru,th,0.7243807315826416
934,earth,3,ru,th,0.7180181741714478
934,earth,4,ru,th,0.7444087862968445
934,fire,0,ru,th,0.7864775657653809
934,fire,1,ru,th,0.780509352684021
934,fire,2,ru,th,0.709658682346344
934,fire,3,ru,th,0.7083768248558044
934,fire,4,ru,th,0.7969701290130615
934,global,0,ru,th,0.7608085870742798
934,global,1,ru,th,0.8586205244064331
934,global,2,ru,th,0.7530827522277832
934,global,3,ru,th,0.7525225877761841
